,years,Means 0,Means 1
63,2014,0.00368577241897583,3.177231788635254
64,2014,0.00021249055862426758,2.9092679023742676
65,2014,-0.055557191371917725,3.102018356323242
66,2014,0.00021249055862426758,2.9092679023742676
67,2014,0.00368577241897583,3.177231788635254
68,2014,0.12653982639312744,3.2545723915100098
69,2014,-0.06848561763763428,3.1255605220794678
70,2014,-0.02970188856124878,3.0327353477478027
71,2015,0.9087026715278625,1.9244139194488525
72,2015,0.05333268642425537,3.183084487915039
73,2015,0.12653982639312744,3.2545723915100098
74,2014,0.00368577241897583,3.177231788635254
75,2015,-0.026733100414276123,3.1279830932617188
76,2015,0.04677760601043701,3.0594685077667236
77,2010,1.8839774131774902,0.6070291996002197
78,2007,3.015388011932373,0.4252510070800781
79,2007,2.2638306617736816,0.17057394981384277
80,2009,2.885838031768799,0.7786175012588501
81,2011,1.4568843841552734,0.780044674873352
82,2013,1.2890219688415527,1.688547134399414
83,2014,0.7946719527244568,1.9068052768707275
84,2010,1.4770879745483398,0.7883855104446411
85,2012,1.8378469944000244,0.8388946652412415
86,2013,1.6982457637786865,0.312319815158844
87,2013,1.6982457637786865,0.312319815158844
88,2010,1.668921947479248,0.9294861555099487
89,2012,1.1449368000030518,1.0819480419158936
90,2013,1.1366281509399414,1.8659183979034424
91,2015,0.16520366072654724,2.9242143630981445
92,2008,2.2602438926696777,0.6121821999549866
93,2010,1.5547749996185303,0.4503384232521057
94,2012,1.3803322315216064,2.0874149799346924
95,2012,1.1590547561645508,1.966080665588379
96,2013,1.2599353790283203,2.2378225326538086
97,2016,-0.18102511763572693,2.9872794151306152
98,2007,1.8852119445800781,0.10858039557933807
99,2010,1.0255975723266602,0.18232059478759766
100,2010,1.53212308883667,0.43061208724975586
101,2013,1.2572426795959473,2.0426433086395264
102,2014,0.9959002137184143,1.6771337985992432
103,2016,0.5924570560455322,1.307348608970642
104,2016,0.5924570560455322,1.307348608970642
105,2007,3.0632615089416504,0.4421139359474182
106,2013,1.399843454360962,1.992985725402832
107,2014,0.595872163772583,1.602552056312561
108,2014,0.595872163772583,1.602552056312561
109,2016,-0.6280050873756409,3.941370725631714
110,2015,0.0016606450080871582,3.138659954071045
111,2011,1.887575626373291,0.5763405561447144
112,2015,0.0016606450080871582,3.138659954071045
113,2015,0.12653982639312744,3.2545723915100098
114,2015,0.12653982639312744,3.2545723915100098
115,2015,0.12653982639312744,3.2545723915100098
116,2015,0.12653982639312744,3.2545723915100098
117,2015,0.12653982639312744,3.2545723915100098
118,2015,0.12653982639312744,3.2545723915100098
119,2015,0.12653982639312744,3.2545723915100098
120,2015,0.12653982639312744,3.2545723915100098
121,2015,0.12653982639312744,3.2545723915100098
122,2015,-0.1149044930934906,3.111680746078491
123,2015,-0.1149044930934906,3.111680746078491
124,2015,0.023948073387145996,3.336334705352783
125,2015,-0.1149044930934906,3.111680746078491
126,2015,0.12653982639312744,3.2545723915100098
127,2015,0.12653982639312744,3.2545723915100098
128,2015,0.12653982639312744,3.2545723915100098
129,2015,0.12653982639312744,3.2545723915100098
130,2015,0.12653982639312744,3.2545723915100098
131,2015,0.017396271228790283,3.211811065673828
132,2015,0.017396271228790283,3.211811065673828
133,2015,0.12653982639312744,3.2545723915100098
134,2015,0.12653982639312744,3.2545723915100098
135,2015,0.12653982639312744,3.2545723915100098
136,2015,0.10107862949371338,2.8963587284088135
137,2015,0.12653982639312744,3.2545723915100098
